name,ring,quadrant,isNew,description,
Open Source,Core,OS / Technology,FALSE,, 
OS - Windows,Core,OS / Technology,FALSE,, 
OS - Linux,Adopt,OS / Technology,FALSE,, 
OS - Mac,Hold,OS / Technology,FALSE,, 
OS - Unix,Hold,OS / Technology,FALSE,, 
Cloud Base,Assess,OS / Technology,FALSE,, 
ALM MicroFocus,Core,Integration,FALSE,, 
ALM RQM,Core,Integration,FALSE,, 
ALM Rally,Assess,Integration,FALSE,, 
ALM Jira - Xray,Adopt,Integration,FALSE,, 
ALM Jira - Zephyr,Hold,Integration,FALSE,, 
Jenkins,Core,Integration,FALSE,, 
Bamboo,Assess,Integration,FALSE,, 
TeamCity,Hold,Integration,FALSE,, 
Cucumber - Gherkin,Core,Integration,FALSE,, 
Appium,Core,Integration,FALSE,, 
Perfecto,Core,Integration,FALSE,, 
TestNG,Core,Integration,FALSE,, 
SoupUI,Core,Integration,FALSE,, 
PACT (Micro services),Core,Integration,FALSE,, 
Selenium,Core,Integration,FALSE,, 
Python,Adopt,Integration,FALSE,, 
Groovy,Adopt,Integration,FALSE,, 
CircleCI,Assess,Integration,FALSE,, 
Docker,Assess,Integration,FALSE,, 
Tortoise SVN,Core,Integration,FALSE,, 
GIT Hub,Core,Integration,FALSE,, 
GIT Lab,Core,Integration,FALSE,, 
Kubernetes,Assess,Integration,FALSE,, 
Applitools,Core,Integration,FALSE,, 
Java - EJB,Assess,Automation Platform,FALSE,, 
Java Swing UI,Core,Automation Platform,FALSE,, 
Java Widgets,Core,Automation Platform,FALSE,, 
Web,Core,Automation Platform,FALSE,, 
Windows,Core,Automation Platform,FALSE,, 
Windows -Widgets,Core,Automation Platform,FALSE,, 
Power builder,Core,Automation Platform,FALSE,, 
Power builder - Widgets,Core,Automation Platform,FALSE,, 
Web services,Core,Automation Platform,FALSE,, 
Mobile IOS,Core,Automation Platform,FALSE,, 
Mobile Android,Core,Automation Platform,FALSE,, 
Unix,Core,Automation Platform,FALSE,, 
Dos,Core,Automation Platform,FALSE,, 
Mainframe,Core,Automation Platform,FALSE,, 
Service Virtualization,Core,Automation Platform,FALSE,, 
Network testing,Hold,Automation Platform,FALSE,, 
Siebel OpenUI,Core,Automation Platform,FALSE,, 
Siebel HI/SI,Assess,Automation Platform,FALSE,, 
oracle SQL,Core,Automation Platform,FALSE,, 
MySQL,Core,Automation Platform,FALSE,, 
SQL Server,Core,Automation Platform,FALSE,, 
Cassandra,Core,Automation Platform,FALSE,, 
PostGRE SQL,Core,Automation Platform,FALSE,, 
CouchBase,Core,Automation Platform,FALSE,, 
DB2,Core,Automation Platform,FALSE,, 
Access,Core,Automation Platform,FALSE,, 
MongoDB,Adopt,Automation Platform,FALSE,, 
Record & playback,Core,Capabilities,FALSE,, 
Analiyzer - Auto Fix,Core,Capabilities,FALSE,, 
Share repository,Core,Capabilities,FALSE,, 
RPA - Automatic Learning/Modelling of applications,Core,Capabilities,FALSE,, 
Performance,Hold,Capabilities,FALSE,, 
Reporting,Core,Capabilities,FALSE,, 
Email Report,Core,Capabilities,FALSE,, 
Drag&Drop (codeless),Core,Capabilities,FALSE,, 
Multiple Data Source,Core,Capabilities,FALSE,, 
Plug in Support,Core,Capabilities,FALSE,, 
Graphic flow creation,Adopt,Capabilities,FALSE,, 
AI driven automation,Assess,Capabilities,FALSE,, 
Flow Predition using ML,Adopt,Capabilities,FALSE,, 
Find and Replace Actions,Core,Capabilities,FALSE,, 
Parallel execution,Core,Capabilities,FALSE,, 
Analytics,Assess,Capabilities,FALSE,, 
Automation ALM Defect creation,Core,Capabilities,FALSE,, 
Distrbuted Execution,Hold,Capabilities,FALSE,, 
Cross browser,Core,Capabilities,FALSE,, 
Trigger Execution from Web,Core,Capabilities,FALSE,, 
Flow Control,Core,Capabilities,FALSE,, 
